object,count,location_raw,north,east,us_category,country,launch_year
LCROSS Centaur,,"-84.9  ̊ N, -35.5  ̊ E (South Pole)",-84.9,-35.5,Non-Apollo,US,2009
LCROSS Shepherding Spacecraft,,"-84.72  ̊ N, -49.62  ̊ E (South Pole)",-84.72,-49.62,Non-Apollo,US,2009
Kaguya orbiter (SELENE),,"-65.5  ̊ N, 80.4  ̊ E",-65.5,80.4,,Japan,2007
Chang'e 4,,-45.457 °N 177.589°E,-45.457,177.589,,China,2019
Surveyor 7,,"-40.980  ̊ N, -11.509  ̊ E",-40.98,-11.509,Non-Apollo,US,1968
SMART-1 (controlled crash),,"-34.4  ̊ N, - 46.2  ̊ E",-34.4,-46.2,,ESA,2006
Ranger 4,,"-15.5  ̊ N, -130.7 E",-15.5,-130.7,Non-Apollo,US,1962
Ranger 7,,"-10.63  ̊ N, -20.60  ̊ E",-10.63,-20.6,Non-Apollo,US,1964
Central Station,,"-8.97537  ̊ N, 15.49812  ̊ E",-8.97537,15.49812,Apollo 16,US,1972
LM Descent Stage (plaque attached),,"-8.97301  ̊ N, 15.50019  ̊ E",-8.97301,15.50019,Apollo 16,US,1972
Landing Location,,"-8.973  ̊ N, 15.31  ̊ E",-8.973,15.31,Apollo 16,US,1972
S-IVB,,"-8.179  ̊ N, 26.031  ̊ E",-8.179,26.031,Apollo 14,US,1971
S-IVB,,"-4.167  ̊ N, -12.33  ̊ E",-4.167,-12.33,Apollo 17,US,1972
LM Ascent Stage,1,"-3.94  ̊ N, -21.20  ̊ E",-3.94,-21.2,Apollo 12,US,1969
LM Descent Stage (plaque attached),1,"-3.64530  ̊ N, -17.47136  ̊ E",-3.6453,-17.47136,Apollo 14,US,1971
Laser Range Reflector (see below),,"-3.64421  ̊ N, -17.47880  ̊ E",-3.64421,-17.4788,Apollo 14,US,1971
Central Station,,"-3.64398  ̊ N, -17.47748  ̊ E",-3.64398,-17.47748,Apollo 14,US,1971
LM Ascent Stage,1,"-3.42  ̊ N, -19.67  ̊ E",-3.42,-19.67,Apollo 14,US,1971
Landing Location,," -3.40  ̊ N, -17.28  ̊ E",-3.4,-17.28,Apollo 14,US,1971
Landing Location,,"-3.11  ̊ N, -23.23  ̊ E",-3.11,-23.23,Apollo 12,US,1969
Surveyor 3,,"-3.015  ̊ N, -23.418  ̊ E",-3.015,-23.418,Non-Apollo,US,1967
LM Descent Stage (plaque attached),1,"-3.01239  ̊ N, -23.42157  ̊ E",-3.01239,-23.42157,Apollo 12,US,1969
Central Station,,"-3.00942  ̊ N, -23.42458  ̊ E",-3.00942,-23.42458,Apollo 12,US,1969
Lunar Orbiter 5,,"-3  ̊ N, -83  ̊ E",-3,-83,Non-Apollo,US,1967
S-IVB,,"-2.553  ̊ N, 27.887  ̊ E",-2.553,27.887,Apollo 13,US,1970
Surveyor 1,,"-2.474  ̊ N, -43.339  ̊ E",-2.474,-43.339,Non-Apollo,US,1966
Chang’e 1 Orbiter,,"-1.50  ̊ N, 52.36  ̊ E",-1.5,52.36,,China,2007
S-IVB,,"-1.288  ̊ N, -11.824  ̊ E",-1.288,-11.824,Apollo 15,US,1971
